THCS-D1,THCS-D2,THCS-D3,THCS-D4,THCS-D5,THCS-D6,THCS-I1,THCS-I2,THCS-I3,THCS-I4,THCS-I5,THCS-I6,THCS-S1,THCS-S2,THCS-S3,THCS-S4,THCS-S5,THCS-S6,THCS-C1,THCS-C2,THCS-C3,THCS-C4,THCS-C5,THCS-C6
4,4,3,4,4,2,3,2,3,2,2,4,3,4,4,4,1,3,5,5,5,5,5,1
2,2,3,3,3,3,3,2,3,3,3,4,4,5,5,4,3,2,2,2,2,1,2,4
2,2,3,2,2,4,5,4,5,5,5,1,3,3,2,3,3,3,1,1,1,2,1,5
5,5,5,5,4,1,4,3,3,4,4,2,1,1,1,2,1,5,4,4,3,4,3,2
3,3,3,3,3,3,2,2,2,3,3,3,1,1,1,2,4,5,2,2,3,2,2,3
2,2,3,3,2,3,3,2,2,2,2,3,2,1,2,2,1,4,2,2,3,3,3,4
1,2,2,2,2,4,3,3,3,3,3,3,4,5,5,5,4,1,2,2,3,2,2,4
3,3,3,3,3,3,3,3,3,2,3,4,3,4,4,4,5,3,3,3,3,4,3,2
4,4,4,4,4,2,5,4,5,5,4,1,4,5,4,5,3,1,3,2,3,3,3,3
3,2,3,3,3,4,4,4,4,4,4,2,4,4,4,5,2,2,3,4,4,4,4,3
4,4,4,4,5,2,2,3,3,3,2,4,4,4,3,4,5,2,3,4,4,3,4,2
3,2,2,2,2,3,2,2,3,2,2,4,2,1,1,1,4,5,2,2,2,2,1,4
1,1,2,1,2,4,2,2,1,1,2,5,4,5,5,5,4,1,2,2,3,3,3,4
2,2,3,2,2,3,2,2,2,2,1,4,1,2,2,2,2,5,1,2,1,1,2,4
3,2,3,3,3,4,2,2,3,3,3,3,1,1,1,1,3,5,1,1,1,1,1,4
4,4,4,4,4,2,4,5,5,4,4,2,3,3,3,3,5,4,3,3,3,3,2,3
2,2,2,2,3,4,2,1,1,1,1,5,2,2,2,2,4,4,5,4,5,4,4,2
3,3,3,3,3,4,2,1,1,1,1,5,5,5,5,5,3,2,3,2,3,2,3,3
1,2,1,2,1,4,1,1,1,2,2,5,2,2,2,2,3,4,5,5,5,5,5,1
4,5,4,4,5,2,4,4,5,4,4,1,3,4,4,4,4,3,5,5,5,4,4,2
2,1,2,2,2,4,2,2,2,2,3,3,4,4,5,5,3,1,2,2,2,3,3,3
2,2,2,1,2,5,4,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3
5,5,5,5,4,1,4,4,4,4,4,3,3,3,3,3,1,3,2,1,1,2,2,5
4,4,4,4,4,2,4,4,5,4,5,2,2,2,1,2,3,4,4,3,3,3,3,3
4,4,4,4,5,2,2,2,2,2,3,4,4,4,4,4,5,2,3,3,3,3,3,4
1,1,1,1,1,5,2,3,3,2,3,3,2,3,3,3,3,3,1,1,1,1,1,5
3,2,2,3,2,4,2,2,2,3,2,4,2,3,2,2,4,4,3,4,3,4,4,3
3,3,3,2,2,3,4,3,3,4,4,2,1,2,1,1,3,5,3,3,3,3,4,3
1,1,1,1,1,5,1,2,1,1,1,4,2,1,1,1,2,4,3,3,3,3,4,3
4,5,5,4,5,1,2,3,3,2,2,3,3,3,3,3,2,3,3,2,2,2,2,4
4,4,5,5,5,1,4,4,4,4,4,2,5,5,5,5,5,2,2,2,2,3,2,3
3,3,3,3,3,2,5,4,5,4,5,1,3,3,3,3,1,2,2,3,2,2,3,3
3,3,3,3,3,3,2,1,2,2,2,4,5,5,5,5,3,1,4,5,5,4,4,2
3,3,3,4,3,2,3,4,4,3,3,2,5,4,5,5,3,1,4,4,4,4,4,1
2,2,2,2,1,4,4,3,3,4,4,3,3,3,3,3,4,3,3,4,3,4,4,2
3,3,3,3,3,3,2,2,2,1,2,4,2,3,2,2,2,3,4,4,4,4,5,1
4,4,4,4,5,2,2,2,3,3,2,3,4,4,4,3,1,3,5,4,4,4,4,1
2,2,3,3,3,3,3,4,3,3,3,2,3,4,3,3,3,2,2,2,2,1,2,4
2,2,2,2,2,4,5,4,5,5,5,2,3,4,4,4,5,2,2,1,1,1,1,4
2,2,3,3,2,4,4,4,4,4,4,2,4,4,5,4,5,1,1,1,1,1,1,4
